b4121282	301755933	THE COMMERCE OF RHODE ISLAND WITH THE WEST INDIES, BEFORE THE AMERICAN REVOLUTION. (PARTS I AND II)
b1940708	302051136	THE APPLICATION OF THE FAVORSKI REARRANGEMENT TO THE PRODUCTION OF ALPHA-NORSTEROIDS AND THE PREPARATION AND NITROUS ACID DEAMINATION OF 1-AMINOMETHYL-CYCLOHEXANOL
b1940680	302000129	MARSDEN HARTLEY: A STUDY OF HIS LIFE AND CREATIVE ACHIEVEMENT
b1940683	301997167	LOGICAL CONSTRUCTIONS
b1940728	302014248	THREE SIGNIFICANT DRAMATISTS AND THEIR RELATION TO THE MORAL DECADENCE OFJACOBEAN AND CAROLINE DRAMA: A STUDY IN GEORGE CHAPMAN, JOHN FORD, AND JOHN WEBSTER
b1940746	301952235	MOSES BROWN: MAN OF PUBLIC RESPONSIBILITY
b1940741	301950893	A KINETIC STUDY OF THE REACTIONS OF ETHYLENIMINES WITH SUBSTITUTED BENZOIC ACIDS
b1940723	301941708	THE CONCEPT OF CHRISTENDOM IN THE WESTERN CRUSADE CHRONICLES OF THE TWELFTH AND THIRTEENTH CENTURIES
b1940743	301941593	REACTIONS OF ETHYLENIMINES WITH ACIDS
b1940720	301940518	COTTON MATHER
b1940764	89306723	INFRARED ABSORPTION INTENSITIES IN CYANOGEN-BROMIDE, CYANOGEN-CHLORIDE, METHYL CYANIDE, AND TRIDEUTERATED METHYL CYANIDE
b1940756	301940211	ACOUSTIC STREAMING NEAR A CAVITATION BUBBLE
b1940784	302014000	AN APPROACH TO THE SYNTHESIS OF A-NOR STEROIDS IN THE PREGNANE SERIES
b1940811	301945760	CATALYTIC ALKYLATIONS AND HYDROGEN TRANSFER REACTIONS
b1940816	301945137	THE RECEPTION OF DARWINISM IN THE UNITED STATES, 1859-1880
b1940815	301909780	THE APPLICATION OF THE FAVORSKI REARRANGEMENT TO THE PRODUCTION OF A-NORSTEROIDS IN THE PREGNANE SERIES AND THE CHEMICAL STUDIES OF THE REACTIONS OF BETA-CHOLESTANYL PARA-TOLUENE SULFONATE WITH ALCOHOLS AND SODIUM ALKOXIDES IN ALCOHOLS
b1940810	193707070	STEADY FLOW OF SLIGHTLY VISCO-ELASTIC FLUIDS
b1940799	193692318	A CRITICAL STUDY OF MAURICE BARING'S WORK OF FICTION
b1940865	301916027	THE EVANGELICAL CLERGY IN THE CHURCH OF ENGLAND, 1790-1850
b1940854	301890166	SOME DECORATED TOMBS OF THE FIRST INTERMEDIATE PERIOD AT NAGA ED-DER
b1940845	301880968	AN APPLICATION OF THE THEORY OF LINEAR OPERATORS IN HILBERT SPACE TO A PROBLEM IN POTENTIAL THEORY
b1940855	301880671	GEORG HEYM: STILL UND WELTBILD
b1944148	301932300	ELIMINATION REACTIONS OF CINNAMIC ACID DIBROMIDE AND ITS DERIVATIVES. PART I: DECARBOXYLATIVE ELIMINATION. PART II: DEBROMINATION.
b1944155	301885614	ACOUSTICAL RADIATION PRESSURE
b1940876	301869536	PREPARATION OF SOME BETA-NORSTEROIDS
b1940871	301867171	LYNN RIGGS, DRAMATIST: A CRITICAL BIOGRAPHY.
b1944135	301866905	DOCTOR CHARLES V. CHAPIN AND THE MODERN PUBLIC HEALTH MOVEMENT
b1944210	301894670	JOHN GOWER'S 'MIROUR DE L'OMME.' (VOLUMES 1-4)
b1944192	301870668	PART I. THE ROLE OF STERIC AND CONJUGATIVE EFFECTS IN THE REACTION OF UNSYMMETRICAL EPOXIDES WITH AMINES. PART II. THE GENERATION OF TERTIARY AMINES FROM QUATERNARY SALTS BY TREATMENT WITH ALKALI BENZENETHIOLATES.
b1944471	301858109	DESIGN FOR TOTAL WAR: THE CONTEST FOR 'WEHRWIRTSCHAFT' UNDER THE THIRD REICH.
b1944469	301858060	A STUDY OF DICKENS' HEROES FROM OLIVER TWIST TO JOHN JASPER
b1944201	301856302	IFS, CANS, AND CAUSES.
b1944203	287988266	HOMOLOGICAL TIC TAC TOE
b1944218	287964422	THE ASTRONOMICAL TABLES OF CODEX VATICANUS GRAECUS 1291
b1944198	287949667	WHITE OVER BLACK: THE ATTITUDES OF THE AMERICAN COLONISTS TOWARD THE NEGRO, TO 1784.
b1944186	287935884	CHARLOTTE MEW: BIOGRAPHY AND CRITICISM.
b1944268	302077255	INTEGRAL CURRENTS MOD 2
b1944243	302043496	SHAKESPEARE'S 'CYMBELINE': A CHRISTIAN INTERPRETATION
b1944258	302031542	Old Norse Heroic Poetry: A Study of Tradition in the Heroic Poems of The Poetic Edda
b1944229	288001689	EFFECTS OF ACOUSTIC STREAMING ON HEAT TRANSFER
b1944242	288000182	WAR, FINANCE, AND FACTION IN COLONIAL NEW YORK: THE ADMINISTRATION OF GOVERNOR BENJAMIN FLETCHER, 1692-1698
b1944276	302102492	MEASUREMENTS OF ULTRASONIC ABSORPTION IN WATER AT FINITE AMPLITUDES FOR FREQUENCIES FROM 5 TO 13 METER CYCLES BY A RADIATION-PRESSURE METHOD
b1944318	302102122	NEW ENGLAND CALVINISM AND THE DISRUPTION OF THE PRESBYTERIAN CHURCH
b1944320	288016136	GEORGE MACDONALD'S FICTION: A STUDY IN THE NATURE OF REALISM AND SYMBOLISM
b1944319	287984781	CAPITAL ON THE DELAWARE: THE PHILADELPHIA UPPER CLASS IN TRANSITION, 1789-1801
b1944351	302192616	THE COMMENTARY OF IBN AL-MUTHANNA TO THE ASTRONOMICAL TABLES OF AL-KHWARIZMI.
b1944368	302157136	THE APPLICATION OF THE BENZILIC ACID REARRANGEMENT TO THE PREPARATION OF A-NOR-5ALPHA-PREGNANES.
b1944358	302120199	THE REACTIONS OF DIMETHYL SULFOXIDE WITH ALPHA-BROMO-KETOSTEROIDS.
b1944360	302114638	ON THE TWO-BODY FORMULATION OF HIGH-ENERGY NUCLEAR SCATTERING PROBLEMS.
b1944350	302112785	THE INFRARED-SPECTRA AND VIBRATIONAL ANALYSIS OF PROPANE AND FOUR DEUTERO-ISOMERS OF PROPANE.
b1944373	302099681	THREE DEMOTIC PAPYRI IN THE BROOKLYN MUSEUM
b1944362	302088019	CAPITAL-OUTPUT RATIOS AND THEIR VARIATIONS.
b1944395	288236507	JOHN DEWEY: A SPOKESMAN FOR PROGRESSIVE LIBERALISM.
b1944399	302278284	I. THE ACTION OF PARA-TOLUENESULPHONYL HYDRAZIDE ON SOME QUINONES IN BASIC SOLUTION. II. THE SYNTHESIS AND PROPERTIES OF DIBENZO(A,E)CYCLOOCTENE-5,6-DIONE
b1944454	302277928	CLAUDE BARBIN (C. 1628-1698): PARIS BOOKSELLER DURING THE REIGN OF LOUIS XIV
b1944453	302277572	The Darkest Celebrations of Tennessee Williams: A Study of &lt;em&gt;Battle of Angels, Orpheus Descending, A Streetcar Named Desire, Camino Real, Cat on a Hot Tin Roof&lt;/em&gt; and &lt;em&gt;Suddenly Last Summer&lt;/em&gt;
b1944414	302153964	PART I: BASE CATALYSIS AND THE MECHANISM OF AROMATIC NUCLEOPHILIC SUBSTITUTION. PART II: AN ATTEMPTED SYNTHESIS OF A DERIVATIVE OF BENZO(1,2: 4,5)DICYCLO BUTENE VIA ARYNE INTERMEDIATES
b1944416	302153936	THE REACTIONS OF DIBENZOYL DIIMIDE WITH NUCLEOPHILES BEARING HYDROGEN: I.THE REACTION WITH ALCOHOLS. II. THE REACTION WITH HYDRAZINES
b1944430	302153906	I. THE NATURE OF THE RHENIDE ION. II. THE KINETICS AND THE MECHANISM OF THE DECOMPOSITION OF ALIPHATIC PEROXYACIDS IN AQUEOUS SOLUTIONS
